               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.030015,            0.034403,           0.0057852,             0.83221,             0.63775,              0.7005,             0.44814,            0.024793,            0.029241,           0.0047225,            0.006733,            0.006733,            0.006733
                  68,            0.029598,            0.032844,           0.0055566,             0.83989,             0.64866,              0.7099,             0.43724,            0.024343,            0.029039,           0.0049203,           0.0066835,           0.0066835,           0.0066835
                  69,            0.030026,            0.034275,           0.0059441,              0.7565,             0.61573,             0.67527,             0.40837,            0.025579,            0.029318,           0.0050058,            0.006634,            0.006634,            0.006634
                  70,            0.029181,            0.033114,           0.0055659,             0.70418,             0.69094,             0.71183,             0.42625,            0.024114,            0.028837,           0.0047986,           0.0065845,           0.0065845,           0.0065845
                  71,            0.028724,             0.03266,           0.0055547,             0.70762,             0.70473,             0.70963,             0.43326,             0.02466,            0.028751,            0.004485,            0.006535,            0.006535,            0.006535
                  72,            0.028409,            0.031849,           0.0051951,             0.82084,             0.62757,             0.70258,             0.42859,            0.024362,            0.028815,           0.0043411,           0.0064855,           0.0064855,           0.0064855
                  73,            0.028501,             0.03206,           0.0050518,             0.82046,             0.58224,             0.68609,             0.42954,            0.024652,            0.028979,           0.0044401,            0.006436,            0.006436,            0.006436
                  74,            0.029398,            0.033053,           0.0050387,              0.8491,             0.60137,             0.71554,             0.43098,            0.024212,            0.028828,           0.0045194,           0.0063865,           0.0063865,           0.0063865
                  75,            0.028555,             0.03154,           0.0051522,             0.88699,             0.56941,             0.66802,             0.42678,            0.024348,            0.029455,           0.0043448,            0.006337,            0.006337,            0.006337
                  76,            0.028439,             0.03291,           0.0048798,             0.68147,             0.69965,             0.71273,             0.42968,            0.024157,            0.028962,           0.0041117,           0.0062875,           0.0062875,           0.0062875
                  77,            0.028764,            0.032158,           0.0052213,             0.79453,             0.62341,             0.69682,             0.43466,            0.024141,            0.028279,           0.0045415,            0.006238,            0.006238,            0.006238
                  78,            0.027848,            0.032123,           0.0050639,             0.87746,              0.6343,             0.70912,             0.45025,            0.024377,             0.02866,            0.004604,           0.0061885,           0.0061885,           0.0061885
                  79,            0.027992,            0.032699,            0.004786,             0.81827,             0.62735,             0.71047,             0.44709,            0.024057,            0.028855,           0.0041733,            0.006139,            0.006139,            0.006139
                  80,            0.027716,             0.03226,           0.0047793,             0.73276,             0.61416,             0.68901,             0.42641,            0.023949,             0.02897,           0.0041448,           0.0060895,           0.0060895,           0.0060895
                  81,             0.02827,            0.034205,           0.0047496,             0.77987,             0.60734,             0.68432,             0.41407,             0.02424,            0.028366,            0.004213,             0.00604,             0.00604,             0.00604
                  82,            0.028053,            0.031919,           0.0044716,             0.69291,             0.70473,             0.71218,             0.43571,            0.024393,            0.028493,            0.003553,           0.0059905,           0.0059905,           0.0059905
                  83,            0.027557,            0.031958,           0.0047415,              0.8481,             0.62022,             0.70814,             0.44206,            0.023908,            0.028249,           0.0035646,            0.005941,            0.005941,            0.005941
                  84,            0.028093,            0.033513,           0.0047213,              0.6165,             0.78903,             0.72869,             0.44147,            0.024379,            0.028379,           0.0036448,           0.0058915,           0.0058915,           0.0058915
                  85,            0.028339,            0.033011,            0.004714,             0.80896,             0.59542,             0.70013,             0.43423,             0.02433,            0.028403,           0.0043515,            0.005842,            0.005842,            0.005842
                  86,            0.026349,             0.03032,           0.0046214,             0.79684,             0.63278,             0.73344,             0.45824,            0.024113,            0.028179,           0.0036179,           0.0057925,           0.0057925,           0.0057925
                  87,            0.027399,            0.031266,           0.0046079,             0.83675,             0.64401,             0.74057,             0.46159,            0.024121,            0.028485,           0.0032778,            0.005743,            0.005743,            0.005743
                  88,            0.027945,            0.032442,           0.0047521,             0.90407,             0.60766,             0.72935,             0.46681,            0.023731,            0.028075,             0.00365,           0.0056935,           0.0056935,           0.0056935
                  89,            0.026954,            0.032469,           0.0039711,             0.81185,              0.6422,             0.72035,             0.44884,             0.02396,            0.028706,           0.0033799,            0.005644,            0.005644,            0.005644
                  90,            0.027566,            0.031332,           0.0043055,             0.77573,             0.70202,             0.74107,             0.42489,            0.024402,            0.028638,           0.0039464,           0.0055945,           0.0055945,           0.0055945
                  91,            0.026531,            0.031378,           0.0041637,             0.64672,             0.75899,             0.73915,              0.4496,            0.024412,            0.028756,           0.0032682,            0.005545,            0.005545,            0.005545
                  92,            0.026924,            0.031083,           0.0041715,             0.75543,              0.7181,             0.75312,             0.48858,             0.02351,            0.028445,           0.0032398,           0.0054955,           0.0054955,           0.0054955
                  93,            0.027496,            0.031055,           0.0043527,             0.86723,             0.67911,             0.75023,             0.46383,            0.024071,            0.028849,           0.0034091,            0.005446,            0.005446,            0.005446
                  94,            0.026276,            0.030442,           0.0039515,             0.86636,             0.69858,             0.77178,             0.46431,            0.023507,            0.028473,           0.0029741,           0.0053965,           0.0053965,           0.0053965
                  95,            0.026319,            0.030506,           0.0044789,             0.77472,             0.71854,             0.75456,             0.47017,             0.02373,            0.028666,            0.003272,            0.005347,            0.005347,            0.005347
                  96,            0.026836,            0.032744,           0.0038833,             0.85583,             0.68693,             0.76054,             0.47769,            0.023743,            0.028441,           0.0029016,           0.0052975,           0.0052975,           0.0052975
                  97,            0.026476,            0.031261,           0.0038164,             0.87943,             0.64055,             0.75909,             0.46185,            0.023817,            0.028215,           0.0031006,            0.005248,            0.005248,            0.005248
                  98,            0.026711,             0.03163,            0.004299,             0.77657,             0.68497,             0.73789,             0.45048,            0.023402,            0.028435,           0.0033395,           0.0051985,           0.0051985,           0.0051985
                  99,             0.02639,            0.030056,           0.0038681,             0.76157,             0.71622,             0.74899,             0.47616,              0.0231,            0.028383,           0.0026904,            0.005149,            0.005149,            0.005149
                 100,            0.025639,            0.030802,           0.0040237,             0.88908,             0.67181,             0.76377,             0.47009,            0.023314,            0.028254,           0.0024438,           0.0050995,           0.0050995,           0.0050995
                 101,            0.026201,            0.030471,           0.0041164,             0.75132,             0.70982,              0.7457,             0.46707,            0.023473,            0.028476,           0.0030829,             0.00505,             0.00505,             0.00505
                 102,            0.025772,            0.031801,           0.0038702,              0.7512,             0.71712,             0.74142,             0.46837,            0.023367,            0.028375,           0.0032074,           0.0050005,           0.0050005,           0.0050005
                 103,             0.02609,            0.030035,           0.0041454,             0.80985,               0.658,              0.7363,             0.46014,            0.023826,            0.028723,           0.0033293,            0.004951,            0.004951,            0.004951
                 104,             0.02693,            0.031418,           0.0039984,             0.85488,             0.68378,             0.76114,             0.47955,            0.023651,            0.028114,           0.0030914,           0.0049015,           0.0049015,           0.0049015
                 105,            0.026179,            0.031418,           0.0039205,             0.82604,              0.7237,             0.75305,             0.45709,            0.023309,              0.0285,           0.0029164,            0.004852,            0.004852,            0.004852
                 106,            0.026053,             0.03067,           0.0036226,             0.90646,             0.62699,             0.75054,              0.4693,            0.023334,            0.028223,            0.002922,           0.0048025,           0.0048025,           0.0048025
                 107,            0.026348,            0.030046,           0.0041326,             0.69579,             0.70921,             0.72107,             0.44563,            0.023847,             0.02834,           0.0038254,            0.004753,            0.004753,            0.004753
                 108,            0.026428,            0.030969,           0.0037518,             0.77672,             0.71479,             0.75354,             0.47064,            0.023519,            0.027908,           0.0030289,           0.0047035,           0.0047035,           0.0047035
                 109,             0.02602,            0.030347,           0.0042158,             0.70309,             0.72664,             0.74609,             0.47431,            0.023218,            0.028095,            0.002992,            0.004654,            0.004654,            0.004654
                 110,             0.02619,              0.0285,           0.0036632,             0.78353,             0.76746,             0.76881,             0.48602,            0.023444,             0.02781,           0.0026082,           0.0046045,           0.0046045,           0.0046045
                 111,            0.026643,            0.031713,           0.0038283,             0.78252,             0.74771,             0.76989,             0.47321,            0.023617,            0.028511,           0.0023975,            0.004555,            0.004555,            0.004555
                 112,            0.025819,            0.030666,           0.0035622,             0.85881,             0.67402,             0.77008,             0.47176,            0.023265,            0.028098,           0.0025803,           0.0045055,           0.0045055,           0.0045055
                 113,            0.025446,            0.030252,           0.0037562,               0.845,             0.72957,             0.80177,             0.49085,            0.023028,            0.027613,           0.0025288,            0.004456,            0.004456,            0.004456
                 114,            0.025452,            0.030219,           0.0035622,             0.82431,             0.69747,             0.76191,             0.47946,            0.022938,            0.028446,           0.0030015,           0.0044065,           0.0044065,           0.0044065
                 115,            0.025411,            0.029367,           0.0037012,             0.78279,             0.72199,             0.76772,             0.48912,            0.023127,            0.028151,           0.0025949,            0.004357,            0.004357,            0.004357
                 116,            0.024933,            0.031392,           0.0033484,             0.80709,             0.71901,              0.7782,             0.48304,            0.022785,            0.027885,           0.0024494,           0.0043075,           0.0043075,           0.0043075
                 117,            0.024888,            0.029179,           0.0031838,             0.76886,             0.74841,             0.77092,             0.47001,            0.022885,            0.028121,           0.0025225,            0.004258,            0.004258,            0.004258
                 118,            0.025539,            0.030536,           0.0032663,             0.83332,             0.69362,              0.7578,             0.47243,            0.023877,            0.028927,           0.0029058,           0.0042085,           0.0042085,           0.0042085
                 119,            0.024787,            0.030732,           0.0031232,             0.80723,             0.74539,             0.77501,             0.48173,            0.023012,            0.028858,           0.0026572,            0.004159,            0.004159,            0.004159
                 120,            0.024952,            0.029516,           0.0036235,             0.78988,             0.74237,             0.77609,             0.47598,             0.02264,            0.028074,           0.0030706,           0.0041095,           0.0041095,           0.0041095
                 121,            0.024517,            0.029847,           0.0033118,             0.82229,             0.73488,             0.77611,             0.49476,            0.022727,            0.028438,           0.0029383,             0.00406,             0.00406,             0.00406
                 122,            0.025112,            0.029392,           0.0033092,             0.79247,             0.73556,             0.77002,             0.49219,            0.022875,            0.028425,           0.0027461,           0.0040105,           0.0040105,           0.0040105
                 123,            0.024527,            0.028627,           0.0032917,             0.82325,             0.74209,             0.78149,             0.46573,            0.023036,            0.028315,           0.0025559,            0.003961,            0.003961,            0.003961
                 124,            0.024569,            0.028998,           0.0029872,             0.81956,             0.72598,             0.77338,              0.4726,            0.023308,             0.02795,           0.0025691,           0.0039115,           0.0039115,           0.0039115
                 125,            0.024338,            0.028865,           0.0030732,             0.79746,             0.72994,              0.7722,             0.47295,            0.022952,            0.028107,           0.0025703,            0.003862,            0.003862,            0.003862
                 126,             0.02441,            0.031161,            0.003118,             0.76968,             0.74929,             0.76472,             0.47549,            0.022648,            0.028171,           0.0025585,           0.0038125,           0.0038125,           0.0038125
                 127,            0.024294,            0.029437,           0.0036085,             0.76562,             0.74393,             0.76666,             0.48369,             0.02299,            0.028014,           0.0026916,            0.003763,            0.003763,            0.003763
                 128,            0.024029,            0.027218,           0.0033653,             0.83595,             0.69436,             0.78301,              0.4844,            0.022509,             0.02806,           0.0025634,           0.0037135,           0.0037135,           0.0037135
                 129,            0.024512,            0.029469,           0.0028447,             0.77118,             0.73037,             0.75437,             0.47233,            0.022696,            0.028191,           0.0026621,            0.003664,            0.003664,            0.003664
                 130,             0.02474,            0.029852,           0.0033629,             0.80748,             0.71149,             0.77322,             0.48347,            0.022733,            0.027524,           0.0026914,           0.0036145,           0.0036145,           0.0036145
                 131,            0.024033,            0.028999,           0.0028885,             0.88442,              0.6979,              0.7926,             0.50107,            0.022955,            0.028037,            0.002952,            0.003565,            0.003565,            0.003565
                 132,            0.023834,            0.029198,           0.0026833,             0.81433,             0.68612,             0.77041,             0.47957,            0.023023,            0.028181,           0.0032535,           0.0035155,           0.0035155,           0.0035155
                 133,            0.023919,            0.028298,           0.0029478,             0.86013,             0.68626,             0.79035,             0.50137,            0.022543,            0.027802,           0.0025938,            0.003466,            0.003466,            0.003466
                 134,            0.024284,            0.030521,            0.002959,             0.94205,             0.68779,             0.80786,             0.51405,            0.023155,            0.027821,           0.0024024,           0.0034165,           0.0034165,           0.0034165
                 135,            0.024162,            0.029226,           0.0031559,             0.90577,             0.72579,              0.8081,              0.5092,            0.022315,            0.027447,           0.0023976,            0.003367,            0.003367,            0.003367
                 136,            0.024016,            0.029916,           0.0030186,             0.85968,             0.71291,             0.76983,             0.47613,            0.022361,            0.028097,           0.0023198,           0.0033175,           0.0033175,           0.0033175
                 137,            0.024084,            0.029936,           0.0028731,             0.89205,             0.65262,             0.77899,             0.48871,            0.022579,            0.028172,           0.0025992,            0.003268,            0.003268,            0.003268
                 138,            0.023343,            0.028389,           0.0029463,             0.83411,             0.75208,             0.79055,             0.50434,            0.022674,            0.027669,           0.0026403,           0.0032185,           0.0032185,           0.0032185
                 139,            0.023624,             0.02865,           0.0028488,             0.84657,             0.73358,             0.79005,             0.48674,            0.022412,            0.027691,           0.0027041,            0.003169,            0.003169,            0.003169
                 140,            0.024459,            0.029422,           0.0029032,             0.73639,             0.78213,             0.78087,             0.48574,            0.022392,            0.027988,           0.0029085,           0.0031195,           0.0031195,           0.0031195
                 141,            0.023878,            0.027489,           0.0028735,             0.85449,             0.69043,             0.78717,             0.50064,            0.022434,            0.028268,           0.0029051,             0.00307,             0.00307,             0.00307
                 142,            0.023721,            0.028067,           0.0029374,             0.83611,             0.72424,             0.78219,             0.49992,            0.022518,             0.02849,           0.0030883,           0.0030205,           0.0030205,           0.0030205
                 143,            0.023124,            0.028789,           0.0031262,             0.84843,             0.71921,              0.7823,             0.49085,            0.022462,            0.027839,           0.0033248,            0.002971,            0.002971,            0.002971
                 144,            0.023431,            0.028399,           0.0026034,             0.82344,             0.73919,             0.77427,             0.49726,            0.022414,            0.028008,           0.0030262,           0.0029215,           0.0029215,           0.0029215
                 145,            0.023517,            0.028339,           0.0023939,              0.7849,              0.7746,             0.76706,              0.4822,            0.022795,            0.028051,            0.003199,            0.002872,            0.002872,            0.002872
                 146,            0.023007,            0.028917,           0.0026033,             0.83151,             0.74378,             0.78006,             0.48552,            0.022774,            0.028259,           0.0024702,           0.0028225,           0.0028225,           0.0028225
                 147,            0.023611,            0.028658,           0.0028076,             0.93733,             0.70104,             0.80782,             0.52032,            0.022311,            0.028457,           0.0023538,            0.002773,            0.002773,            0.002773
                 148,            0.023319,            0.028799,           0.0023338,             0.90122,             0.70614,              0.8011,             0.49343,            0.022762,            0.028235,            0.002326,           0.0027235,           0.0027235,           0.0027235
                 149,            0.023395,            0.028562,           0.0028859,             0.86392,             0.71283,             0.78581,              0.4977,             0.02289,            0.028334,           0.0030516,            0.002674,            0.002674,            0.002674
                 150,            0.022953,            0.028693,           0.0028059,             0.83889,             0.70967,             0.76808,             0.49011,            0.022898,            0.028662,           0.0032983,           0.0026245,           0.0026245,           0.0026245
                 151,            0.022813,            0.029586,           0.0023902,             0.83027,               0.722,             0.77442,             0.50475,             0.02294,            0.028416,           0.0031242,            0.002575,            0.002575,            0.002575
                 152,            0.023078,            0.028774,           0.0026999,             0.78353,             0.76289,             0.78028,             0.50188,            0.022475,            0.028487,           0.0031002,           0.0025255,           0.0025255,           0.0025255
                 153,            0.022959,            0.028744,           0.0022565,             0.81531,             0.70479,             0.76773,             0.48384,            0.022582,            0.028451,           0.0031396,            0.002476,            0.002476,            0.002476
                 154,            0.023019,            0.028603,           0.0027664,             0.83065,             0.71662,             0.77686,             0.49119,            0.022467,            0.028549,           0.0029047,           0.0024265,           0.0024265,           0.0024265
                 155,            0.022826,            0.028735,           0.0024939,             0.83547,             0.72473,             0.77681,              0.4852,            0.022881,            0.028468,           0.0031602,            0.002377,            0.002377,            0.002377
                 156,            0.022768,            0.026982,           0.0021158,             0.81301,             0.77063,             0.78633,              0.4974,            0.022656,            0.028056,           0.0029599,           0.0023275,           0.0023275,           0.0023275
                 157,            0.023048,            0.028115,             0.00237,              0.8627,             0.70947,             0.79014,             0.48318,            0.022792,            0.028487,           0.0032912,            0.002278,            0.002278,            0.002278
